"Category";"SOLAR";"EOLICA";"PCH"
"2020-08-14";72,96742000000006;0;0,7
"2020-08-15";72,96835000000006;0;0,7
"2020-08-17";73,04035000000006;0;0,7
"2020-08-18";73,06769000000006;0;0,7
"2020-08-19";73,10009000000005;0;0,7
"2020-08-20";73,11771000000005;0;0,7
"2020-08-21";73,53571000000005;0;0,7
"2020-08-24";73,53821000000005;0;0,7
"2020-08-25";73,54735000000005;0;0,7
"2020-08-26";73,54859000000005;0;0,7
"2020-08-27";73,60598000000005;0;0,7
"2020-08-28";73,71171000000004;0;0,7
"2020-08-29";73,72902000000003;0;0,7
"2020-08-31";73,77883000000003;0;0,7
"2020-09-01";73,79590000000003;0;0,7
"2020-09-02";73,86256500000003;0;0,7
"2020-09-03";73,90884500000003;0;0,7
"2020-09-04";73,90965500000003;0;0,7
"2020-09-07";73,93188500000002;0;0,7
"2020-09-08";74,15672500000002;0;0,7
"2020-09-09";74,19520500000003;0;0,7
"2020-09-10";94,09790500000003;0;0,7
"2020-09-11";94,31877000000003;0;0,7
"2020-09-12";94,32464000000003;0;0,7
"2020-09-14";94,32603000000003;0;0,7
"2020-09-15";94,37625000000003;0;0,7
"2020-09-16";94,41217000000003;0;0,7
"2020-09-17";94,50815000000003;0;0,7
"2020-09-18";94,56930000000003;0;0,7
"2020-09-19";94,58538000000003;0;0,7
"2020-09-21";94,59036000000003;0;0,7
"2020-09-22";94,67883000000003;0;0,7
"2020-09-23";94,83317000000004;0;0,7
"2020-09-24";94,85313000000004;0;0,7
"2020-09-25";94,89652000000004;0;0,7
"2020-09-26";95,06372000000003;0;0,7
"2020-09-28";95,08645000000003;0;0,7
"2020-09-29";95,09180000000003;0;0,7
"2020-09-30";98,14574000000003;0;0,7
"2020-10-01";98,18636000000004;0;0,7
"2020-10-02";98,18667000000003;0;0,7
"2020-10-05";98,28727000000003;0;0,7
"2020-10-07";98,36499000000003;0;0,7
"2020-10-08";98,38185000000003;0;0,7
"2020-10-09";98,58703000000003;0;0,7
"2020-10-10";98,59003000000003;0;0,7
"2020-10-11";98,65203000000002;0;0,7
"2020-10-12";98,65803000000002;0;0,7
"2020-10-13";98,71637000000003;0;0,7
"2020-10-15";98,78357000000003;0;0,7
"2020-10-16";98,79357000000003;0;0,7
"2020-10-18";98,80157000000003;0;0,7
"2020-10-19";98,86092000000002;0;0,7
"2020-10-20";99,05036000000003;0;0,7
"2020-10-21";99,25986000000003;0;0,7
"2020-10-22";99,26286000000003;0;0,7
"2020-10-24";99,26846000000003;0;0,7
"2020-10-26";99,27266000000003;0;0,7
"2020-10-27";99,27530000000003;0;0,7
"2020-10-28";99,37528000000003;0;0,7
"2020-10-29";99,57039000000003;0;0,7
"2020-10-30";99,69456000000004;0;0,7
"2020-10-31";99,74411000000003;0;0,7
"2020-11-03";99,84641000000003;0;0,7
"2020-11-04";99,86902000000003;0;0,7
"2020-11-05";99,88698000000004;0;0,7
"2020-11-06";99,94558000000004;0;0,7
"2020-11-07";100,02442000000003;0;0,7
"2020-11-09";100,06795000000004;0;0,7
"2020-11-10";100,21881000000003;0;0,7
"2020-11-11";100,27992000000003;0;0,7
"2020-11-12";100,42390000000003;0;0,7
"2020-11-13";100,56124000000003;0;0,7
"2020-11-15";100,56884000000002;0;0,7
"2020-11-16";102,49949000000002;0;0,7
"2020-11-17";102,52158000000003;0;0,7
"2020-11-18";102,63981000000003;0;0,7
"2020-11-19";102,68043000000003;0;0,7
"2020-11-20";102,69362000000002;0;0,7
"2020-11-21";102,69416000000002;0;0,7
"2020-11-23";102,79421000000002;0;0,7
"2020-11-24";102,80418000000002;0;0,7
"2020-11-26";102,83753000000002;0;0,7
"2020-11-27";102,85201000000002;0;0,7
"2020-11-30";122,78169000000003;0;0,7
"2020-12-01";122,78947000000002;0;0,7
"2020-12-02";122,83471000000003;0;0,7
"2020-12-03";122,85638000000003;0;0,7
"2020-12-04";122,89388000000002;0;0,7
"2020-12-07";123,11374000000002;0;0,7
"2020-12-08";123,12824000000002;0;0,7
"2020-12-09";123,23854000000001;0;0,7
"2020-12-10";123,24885000000002;0;0,7
"2020-12-11";123,25444000000002;0;0,7
"2020-12-12";123,26913000000002;0;0,7
"2020-12-13";123,48095000000002;0;0,7
"2020-12-14";123,56312000000003;0;0,7
"2020-12-15";123,57462000000002;0;0,7
"2020-12-16";123,70485000000002;0;0,7
"2020-12-17";123,88875000000002;0;0,7
"2020-12-18";124,21458000000001;0;0,7
"2020-12-19";124,32662;0;0,7
"2020-12-21";124,36562;0;0,7
"2020-12-22";124,39772;0;0,7
"2020-12-23";124,40721;0;0,7
"2020-12-26";124,47321000000001;0;0,7
"2020-12-27";134,37321;0;0,7
"2020-12-28";134,42071;0;0,7
"2020-12-29";134,42801;0;0,7
"2020-12-30";136,02941;0;0,7
"2020-12-31";136,03265000000002;0;0,7
"2021-01-02";136,03385000000003;0;0,7
"2021-01-04";136,04267000000002;0;0,7
"2021-01-05";136,04360000000003;0;0,7
"2021-01-06";136,06267000000003;0;0,7
"2021-01-07";136,11820000000003;0;0,7
"2021-01-08";136,14312000000004;0;0,7
"2021-01-10";136,26312000000004;0;0,7
"2021-01-12";136,42404000000005;0;0,7
"2021-01-13";136,43207000000004;0;0,7
"2021-01-14";136,45387000000005;0;0,7
"2021-01-15";136,48649000000006;0;0,7
"2021-01-16";136,51469000000006;0;0,7
"2021-01-18";136,51527000000007;0;0,7
"2021-01-19";136,58415000000008;0;0,7
"2021-01-20";136,6117600000001;0;0,7
"2021-01-21";136,6163520000001;0;0,7
"2021-01-22";156,6423520000001;0;0,7
"2021-01-23";156,6870020000001;0;0,7
"2021-01-24";156,69180200000008;0;0,7
"2021-01-25";156,80426200000008;0;0,7
"2021-01-26";156,83651200000008;0;0,7
"2021-01-27";156,8565820000001;0;0,7
"2021-01-28";157,0110420000001;0;0,7
"2021-01-29";157,0660420000001;0;0,7
"2021-01-30";157,06896200000008;0;0,7
"2021-02-01";157,09896200000009;0;0,7
"2021-02-02";157,10825200000008;0;0,7
"2021-02-03";157,1094520000001;0;0,7
"2021-02-04";157,3182520000001;0;0,7
"2021-02-05";157,68150200000008;0;0,7
"2021-02-08";157,70850200000007;0;0,7
"2021-02-09";157,76815200000007;0;0,7
